id,nombre,precio,stock,categoria,activo
1,Leche Deslactosada,2.1,45,Lácteos,True
2,Yogurt Natural Fresa,1.25,30,Lácteos,True
3,Queso Fresco,2.8,20,Lácteos,True
4,Mantequilla,1.9,15,Lácteos,True
5,Arroz Integral,2.5,50,Abarrotes,True
6,Frijoles Negros,1.75,40,Abarrotes,True
7,Aceite Vegetal,3.2,25,Abarrotes,True
8,Sal de Mesa,0.8,35,Abarrotes,True
9,Jabón Líquido para Ropa,4.5,18,Limpieza,True
10,Detergente en Polvo,3.8,22,Limpieza,True
11,Cloro,2.2,12,Limpieza,True
12,Refresco de Cola 2L,2.3,27,Bebidas,True
13,Agua Purificada 1L,0.9,60,Bebidas,True
14,Jugo de Naranja 1L,1.95,0,Bebidas,True
15,Papas Fritas Bolsa,1.6,25,Snacks,True
16,Galletas Dulces,1.4,0,Snacks,True
17,Chocolate con Leche,1.85,15,Snacks,True
18,Manzana Roja kg,2.75,20,Frutas y Verduras,True
19,Plátano kg,1.3,30,Frutas y Verduras,True
20,Tomate kg,1.95,18,Frutas y Verduras,True
21,Pollo Congelado kg,5.5,10,Congelados,True
22,Verduras Mixtas Congeladas,3.25,8,Congelados,True
23,Pan Frances,1.2,28,Panaderia,True
